flow,month,cpa,value_ix,uv_ix,vol_ix,status
I,2020-10-01,108221,103.682594299316,98.973258972168,104.758186340332,def
I,2020-11-01,108221,130.099990844727,97.0877227783203,134.002517700195,def
I,2020-12-01,108221,95.2171173095703,97.281982421875,97.87744140625,def
I,2021-01-01,108221,84.6679534912109,100.849174499512,83.9550323486328,def
I,2021-02-01,108221,84.9753265380859,97.4855575561524,87.1670913696289,def
I,2021-03-01,108221,114.859703063965,91.1399993896484,126.025573730469,def
I,2021-04-01,108221,109.64234161377,95.2981567382812,115.051895141602,def
I,2021-05-01,108221,127.556549072266,101.285461425781,125.937675476074,def
I,2021-06-01,108221,126.21369934082,99.298095703125,127.105857849121,def
I,2021-07-01,108221,136.015594482422,98.5753784179688,137.981307983398,def
I,2021-08-01,108221,89.1870727539063,99.2592468261719,89.852653503418,def
I,2021-09-01,108221,159.285522460938,95.0173034667969,167.638427734375,def
I,2021-10-01,108221,177.164276123047,100.115982055664,176.959045410156,def
I,2021-11-01,108221,214.208267211914,99.6640472412109,214.93034362793,def
I,2021-12-01,108221,152.059173583984,97.4078674316406,156.10563659668,def
I,2022-01-01,108221,157.357421875,82.7791595458984,190.093032836914,def
I,2022-02-01,108221,143.618667602539,84.1347122192383,170.70085144043,def
I,2022-03-01,108221,165.18115234375,85.1893768310547,193.898773193359,def
I,2022-04-01,108221,174.796173095703,80.2233276367188,217.886978149414,def
I,2022-05-01,108221,174.573974609375,86.2831573486328,202.32682800293,def
I,2022-06-01,108221,221.232635498047,85.2656936645508,259.462646484375,def
I,2022-07-01,108221,133.277313232422,92.2700805664063,144.442626953125,def
I,2022-08-01,108221,95.3313140869141,95.7191314697266,99.594841003418,def
I,2022-09-01,108221,144.530197143555,91.4966430664063,157.962310791016,def
I,2022-10-01,108221,127.769470214844,91.0069808959961,140.395248413086,def
I,2022-11-01,108221,202.56510925293,88.5864944458008,228.663650512695,def
I,2022-12-01,108221,158.983016967773,108.409683227539,146.650207519531,def
I,2023-01-01,108221,182.39924621582,104.417259216309,174.683044433594,def
I,2023-02-01,108221,211.920700073242,103.025260925293,205.697799682617,def
I,2023-03-01,108221,176.21337890625,100.187477111816,175.883636474609,def
I,2023-04-01,108221,130.932525634766,100.867706298828,129.806198120117,def
I,2023-05-01,108221,216.955123901367,100.999565124512,214.807968139648,def
I,2023-06-01,108221,95.6561737060547,98.0157699584961,97.5926361083985,def
I,2023-07-01,108221,108.489334106445,91.0612182617188,119.138900756836,def
I,2023-08-01,108221,150.183532714844,92.4155349731445,162.508972167969,def
I,2023-09-01,108221,150.338165283203,97.3836441040039,154.377227783203,def
I,2023-10-01,108221,141.227844238281,99.4026641845703,142.076522827148,def
I,2023-11-01,108221,147.646759033203,99.6343154907227,148.188659667969,def
I,2023-12-01,108221,114.125175476074,119.922065734863,95.1661148071289,def
I,2024-01-01,108221,92.8149960778797,110.770932504357,83.790027041781,def
