Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
E;2017;1;Januar;10891;104.82073211669922;87.59459686279297;119.6657485961914;109.30460357666016;101.9637680053711;107.19945526123047;117.33624267578125;102.57958984375;114.38555908203125;def;2026-09-10T00:00:00.000+02:00
E;2017;2;Februar;10891;84.1072998046875;89.07406616210938;94.42399597167969;91.52750396728516;98.4310302734375;92.9864273071289;80.23918151855469;101.68899536132812;78.90644836425781;def;2026-09-10T00:00:00.000+02:00
E;2017;3;März;10891;103.22815704345703;89.93082427978516;114.78617095947266;107.56156921386719;98.91222381591797;108.74446105957031;122.73388671875;100.96184539794922;121.56462097167969;def;2026-09-10T00:00:00.000+02:00
E;2017;4;April;10891;81.8251953125;86.59062957763672;94.49659729003906;81.2398910522461;93.33653259277344;87.03975677490234;79.266357421875;96.28581237792969;82.32402801513672;def;2026-09-10T00:00:00.000+02:00
E;2017;5;Mai;10891;102.90502166748047;85.6440658569336;120.15428924560547;112.88774871826172;100.18762969970703;112.67633056640625;125.76201629638672;98.9068603515625;127.15196990966797;def;2026-09-10T00:00:00.000+02:00
E;2017;6;Juni;10891;98.8602066040039;82.85260772705078;119.32057189941406;105.3989486694336;93.8757553100586;112.27494049072266;96.06937408447266;96.7406234741211;99.3061294555664;def;2026-09-10T00:00:00.000+02:00
E;2017;7;Juli;10891;95.72000885009766;84.6214828491211;113.1155014038086;100.90463256835938;91.89014434814453;109.81006622314453;96.82360076904297;102.13496398925781;94.7996597290039;def;2026-09-10T00:00:00.000+02:00
E;2017;8;August;10891;99.37384796142578;83.32466125488281;119.26102447509766;125.80809020996094;98.42302703857422;127.8238296508789;103.81721496582031;98.4675064086914;105.43296813964844;def;2026-09-10T00:00:00.000+02:00
E;2017;9;September;10891;100.89440155029297;87.83049774169922;114.8740005493164;103.71056365966797;99.47681427001953;104.25601196289062;101.53013610839844;105.40756225585938;96.32149505615234;def;2026-09-10T00:00:00.000+02:00
E;2017;10;Oktober;10891;105.25856018066406;90.0765609741211;116.85454559326172;107.97542572021484;107.60330963134766;100.3458251953125;104.32546997070312;102.5572738647461;101.72410583496094;def;2026-09-10T00:00:00.000+02:00
E;2017;11;November;10891;127.41280364990234;91.30411529541016;139.54771423339844;130.91859436035156;106.01560974121094;123.48992919921875;121.04744720458984;101.36278533935547;119.42001342773438;def;2026-09-10T00:00:00.000+02:00
E;2017;12;Dezember;10891;107.3547134399414;94.22869873046875;113.9299545288086;120.17278289794922;110.34860229492188;108.9028549194336;84.25740051269531;103.203125;81.64229583740234;def;2026-09-10T00:00:00.000+02:00
E;2017;23;Jahr;10891;100.9800796508789;87.60466003417969;115.26792907714844;107.73985290527344;100.05362701416016;107.6821060180664;;;;def;2026-09-10T00:00:00.000+02:00
E;2017;24;1. Quartal;10891;97.38539123535156;88.78411865234375;109.68785095214844;102.95819091796875;100.05239868164062;102.9042739868164;;;;def;2026-09-10T00:00:00.000+02:00
E;2017;25;2. Quartal;10891;94.53014373779297;84.85975646972656;111.3957290649414;99.27078247070312;95.49493408203125;103.95397186279297;99.80672454833984;100.0254135131836;99.78136444091797;def;2026-09-10T00:00:00.000+02:00
E;2017;26;3. Quartal;10891;98.66275024414062;85.20330810546875;115.79685974121094;109.16641998291016;96.54511260986328;113.07296752929688;104.37174224853516;100.40484619140625;103.95089721679688;def;2026-09-10T00:00:00.000+02:00
E;2017;27;4. Quartal;10891;113.34202575683594;91.32927703857422;124.10261535644531;119.66867065429688;107.65113830566406;111.16340637207031;114.87823486328125;107.18982696533203;107.17269897460938;def;2026-09-10T00:00:00.000+02:00
E;2017;28;1. Halbjahr;10891;95.95777130126953;86.71400451660156;110.6600570678711;101.1082992553711;97.668212890625;103.52220916748047;;;;def;2026-09-10T00:00:00.000+02:00
E;2017;29;2. Halbjahr;10891;106.00238800048828;88.41876983642578;119.88674926757812;114.54052734375;102.25811767578125;112.01118469238281;114.54052734375;102.25811767578125;112.01118469238281;def;2026-09-10T00:00:00.000+02:00
E;2018;1;Januar;10891;128.09063720703125;88.64397430419922;144.50009155273438;122.19971466064453;101.197998046875;120.75309753417969;119.3153305053711;94.07322692871094;126.8323974609375;def;2026-09-10T00:00:00.000+02:00
