Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
I;2013;6;Juni;0;95.19249725341797;99.90538024902344;95.28265380859375;95.19249725341797;99.90538024902344;95.28265380859375;92.39754486083984;100.242919921875;92.17363739013672;def;2026-09-10T00:00:00.000+02:00
I;2013;7;Juli;0;107.40323638916016;100.43724060058594;106.9356689453125;107.40323638916016;100.43724060058594;106.9356689453125;112.8274154663086;100.53236389160156;112.22994232177734;def;2026-09-10T00:00:00.000+02:00
I;2013;8;August;0;87.38066101074219;101.68202209472656;85.93521118164062;87.38066101074219;101.68202209472656;85.93521118164062;81.3575668334961;101.2393569946289;80.36160278320312;def;2026-09-10T00:00:00.000+02:00
I;2013;9;September;0;98.69253540039062;102.22920227050781;96.54045104980469;98.69253540039062;102.22920227050781;96.54045104980469;112.94551086425781;100.53813171386719;112.34097290039062;def;2026-09-10T00:00:00.000+02:00
I;2013;10;Oktober;0;108.63086700439453;104.13035583496094;104.3219985961914;108.63086700439453;104.13035583496094;104.3219985961914;110.06999969482422;101.85970306396484;108.0604019165039;def;2026-09-10T00:00:00.000+02:00
I;2013;11;November;0;108.72926330566406;102.24954223632812;106.337158203125;108.72926330566406;102.24954223632812;106.337158203125;100.090576171875;98.19378662109375;101.93167877197266;def;2026-09-10T00:00:00.000+02:00
I;2013;12;Dezember;0;96.95049285888672;107.7681655883789;89.96208953857422;96.95049285888672;107.7681655883789;89.96208953857422;89.16688537597656;105.39720916748047;84.60079956054688;def;2026-09-10T00:00:00.000+02:00
I;2013;23;Jahr;0;100.48707580566406;101.8748550415039;98.63775634765625;100.48707580566406;101.8748550415039;98.63775634765625;;;;def;2026-09-10T00:00:00.000+02:00
I;2013;24;1. Quartal;0;98.27717590332031;103.78240203857422;94.6954116821289;98.27717590332031;103.78240203857422;94.6954116821289;;;;def;2026-09-10T00:00:00.000+02:00
I;2013;25;2. Quartal;0;101.075439453125;99.91944885253906;101.15692138671875;101.075439453125;99.91944885253906;101.15692138671875;101.075439453125;99.91944885253906;101.15692138671875;def;2026-09-10T00:00:00.000+02:00
